epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.061,1.52219,2.50084,1.24176,0.01,1,0.04748,0.03232,1.22531,2.8715,0.99461,0.00044,0.00044,0.00044
2,5.65364,1.42421,1.14162,1.12018,0.01,1,0.07733,0.04745,1.29369,2.87925,1.02822,0.000892697,0.000892697,0.000892697
3,8.27024,1.38457,1.01233,1.12318,1,0.48935,0.995,0.63525,1.25552,2.07795,1.0148,0.00133793,0.00133793,0.00133793
4,10.9054,1.40209,0.93062,1.12193,0.19675,0.44444,0.21551,0.12511,1.52468,2.28113,1.11006,0.00177569,0.00177569,0.00177569
5,13.4604,1.34942,0.86803,1.10738,1,0.99545,0.995,0.60697,1.3929,0.96032,1.1264,0.00193508,0.00193508,0.00193508
6,16.0404,1.36751,0.83462,1.11128,0.97319,0.97778,0.99265,0.63152,1.34838,0.83947,1.09843,0.00191885,0.00191885,0.00191885
7,18.6525,1.32973,0.78226,1.09325,0.98774,1,0.995,0.6029,1.37014,0.72125,1.09621,0.00190262,0.00190262,0.00190262
8,21.2306,1.28886,0.74062,1.07182,0.99085,0.97778,0.99415,0.65747,1.22394,0.67617,1.04674,0.00188639,0.00188639,0.00188639
9,23.8149,1.31559,0.72426,1.07765,0.99688,1,0.995,0.6312,1.28243,0.6299,1.06832,0.00187016,0.00187016,0.00187016
10,26.3773,1.30819,0.68903,1.08615,0.99774,1,0.995,0.66609,1.2004,0.5751,1.04472,0.00185393,0.00185393,0.00185393
11,28.9485,1.28824,0.6846,1.07842,0.97806,0.99056,0.99457,0.61339,1.30789,0.66304,1.12366,0.0018377,0.0018377,0.0018377
12,31.5314,1.27552,0.65969,1.06578,0.99905,1,0.995,0.64669,1.27063,0.56632,1.07437,0.00182148,0.00182148,0.00182148
13,34.1254,1.26706,0.63433,1.06397,0.99721,0.97778,0.99415,0.66397,1.18125,0.53854,1.04383,0.00180525,0.00180525,0.00180525
14,36.7071,1.26276,0.6201,1.06262,1,0.99614,0.995,0.64323,1.24344,0.54528,1.07733,0.00178902,0.00178902,0.00178902
15,39.2764,1.27373,0.6103,1.07914,0.99805,1,0.995,0.6728,1.20936,0.55555,1.07203,0.00177279,0.00177279,0.00177279
16,41.8869,1.23078,0.59228,1.06705,0.99813,1,0.995,0.63884,1.32571,0.5353,1.09969,0.00175656,0.00175656,0.00175656
17,44.5002,1.25316,0.5952,1.08433,0.99706,1,0.995,0.67269,1.24024,0.53987,1.10448,0.00174033,0.00174033,0.00174033
18,47.1127,1.25674,0.57708,1.06189,0.97738,0.97778,0.99415,0.61867,1.31299,0.56038,1.13626,0.0017241,0.0017241,0.0017241
19,49.8254,1.24252,0.57521,1.0661,0.98507,0.97778,0.97665,0.5752,1.45968,0.56742,1.21947,0.00170787,0.00170787,0.00170787
20,52.633,1.27552,0.58356,1.078,0.99908,1,0.995,0.65293,1.22685,0.51587,1.07884,0.00169164,0.00169164,0.00169164
21,55.9798,1.21601,0.56832,1.04775,0.99733,1,0.995,0.65614,1.23111,0.53291,1.08033,0.00167541,0.00167541,0.00167541
22,59.5459,1.2583,0.5691,1.06197,0.95512,0.93333,0.98702,0.6173,1.31126,0.62385,1.12182,0.00165918,0.00165918,0.00165918
23,63.6265,1.24835,0.56753,1.055,0.97809,0.99224,0.9937,0.61441,1.32774,0.55377,1.11615,0.00164295,0.00164295,0.00164295
24,67.6463,1.22944,0.55854,1.05795,0.99842,1,0.995,0.62667,1.33711,0.53129,1.12553,0.00162672,0.00162672,0.00162672
25,71.781,1.22813,0.55314,1.06044,0.97611,1,0.99217,0.63478,1.30451,0.54046,1.10665,0.00161049,0.00161049,0.00161049
26,75.9269,1.2159,0.54648,1.04265,0.99854,1,0.995,0.6642,1.32007,0.5375,1.1289,0.00159426,0.00159426,0.00159426
27,80.1606,1.20942,0.54699,1.05018,0.95742,0.99945,0.99326,0.64499,1.28362,0.64755,1.11162,0.00157803,0.00157803,0.00157803
28,83.8982,1.18999,0.53937,1.04414,0.99876,1,0.995,0.64199,1.27407,0.51644,1.08895,0.0015618,0.0015618,0.0015618
29,87.0593,1.20567,0.53346,1.04781,0.4731,0.66667,0.58909,0.35627,1.3002,4.14401,1.12985,0.00154557,0.00154557,0.00154557
30,89.9213,1.16355,0.52398,1.02952,0.99841,1,0.995,0.66138,1.25701,0.48563,1.09143,0.00152934,0.00152934,0.00152934
31,92.81,1.18442,0.53669,1.04539,0.99853,1,0.995,0.68291,1.25307,0.481,1.09845,0.00151311,0.00151311,0.00151311
32,95.8518,1.14513,0.5178,1.02595,1,0.99997,0.995,0.67689,1.27174,0.48604,1.12879,0.00149689,0.00149689,0.00149689
33,98.7138,1.1852,0.52025,1.05417,0.9985,1,0.995,0.65649,1.32365,0.4887,1.13729,0.00148066,0.00148066,0.00148066
34,101.593,1.18481,0.53015,1.05068,0.99807,1,0.995,0.68393,1.2254,0.47465,1.09969,0.00146443,0.00146443,0.00146443
35,104.458,1.17531,0.51417,1.04399,0.99797,1,0.995,0.64851,1.25548,0.4839,1.12262,0.0014482,0.0014482,0.0014482
