epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.79085,2.60937,2.67345,1.22563,0.01216,0.48214,0.05767,0.02417,2.64693,3.36714,1.0631,0.000654321,0.000654321,0.000654321
2,15.1009,2.31357,1.53322,1.10905,0.60582,0.47754,0.50866,0.17266,2.487,1.84247,1.03356,0.00130791,0.00130791,0.00130791
3,22.7235,2.28947,1.36767,1.10232,0.42625,0.50357,0.4135,0.12778,2.51936,1.33336,1.04324,0.0019483,0.0019483,0.0019483
4,30.3258,2.26449,1.26631,1.09102,0.55649,0.47054,0.44132,0.1497,2.71201,1.31961,1.09418,0.0019406,0.0019406,0.0019406
5,37.9092,2.23919,1.20349,1.10236,0.58474,0.47272,0.42143,0.13287,2.77203,1.27145,1.09331,0.0019208,0.0019208,0.0019208
6,45.4841,2.22498,1.10162,1.07513,0.72083,0.63629,0.67684,0.22038,2.48635,1.01547,1.05666,0.001901,0.001901,0.001901
7,53.1391,2.1713,1.07331,1.07583,0.79694,0.62857,0.67502,0.2308,2.46122,1.01106,1.01806,0.0018812,0.0018812,0.0018812
8,60.6211,2.14955,1.03279,1.06019,0.70265,0.64643,0.58657,0.19589,2.37394,1.0002,1.02056,0.0018614,0.0018614,0.0018614
9,68.1368,2.15963,1.02985,1.06687,0.73752,0.70357,0.68798,0.23265,2.2946,0.97318,1.0222,0.0018416,0.0018416,0.0018416
10,75.6323,2.15563,1.01683,1.06628,0.72798,0.67143,0.66556,0.22878,2.30176,0.99011,1.02296,0.0018218,0.0018218,0.0018218
11,83.2089,2.15601,1.01271,1.06725,0.68419,0.619,0.60228,0.19238,2.49284,1.05744,1.08043,0.001802,0.001802,0.001802
12,90.7307,2.13526,0.98014,1.05337,0.78185,0.68214,0.74641,0.25895,2.33389,0.92,1.00849,0.0017822,0.0017822,0.0017822
13,98.1468,2.13908,0.97412,1.06739,0.78238,0.71071,0.74607,0.25782,2.26327,0.92816,1.0135,0.0017624,0.0017624,0.0017624
14,105.623,2.12711,0.97422,1.06153,0.7857,0.74637,0.76211,0.26059,2.26239,0.90514,1.01581,0.0017426,0.0017426,0.0017426
15,113.03,2.11919,0.93897,1.0604,0.84898,0.72857,0.7506,0.24958,2.32804,0.8976,1.01275,0.0017228,0.0017228,0.0017228
16,120.444,2.1031,0.93708,1.05112,0.77673,0.72064,0.71546,0.24361,2.35189,0.95281,1.02669,0.001703,0.001703,0.001703
17,128.104,2.08602,0.92502,1.03756,0.80464,0.77857,0.76637,0.26787,2.30797,0.88856,1.00844,0.0016832,0.0016832,0.0016832
18,135.628,2.08571,0.9236,1.04295,0.79515,0.72857,0.72764,0.24974,2.31613,0.91384,1.0056,0.0016634,0.0016634,0.0016634
19,143.152,2.08133,0.91363,1.0441,0.80396,0.73214,0.7764,0.28042,2.33562,0.88027,1.0199,0.0016436,0.0016436,0.0016436
20,150.98,2.05804,0.90282,1.04228,0.82725,0.76962,0.76217,0.27003,2.28706,0.90208,1.01226,0.0016238,0.0016238,0.0016238
21,158.966,2.03389,0.89052,1.03833,0.82026,0.74975,0.75397,0.26246,2.26594,0.87784,1.01511,0.001604,0.001604,0.001604
22,166.936,2.05504,0.88605,1.04453,0.82627,0.78214,0.7919,0.28722,2.24008,0.85806,1.0031,0.0015842,0.0015842,0.0015842
23,174.853,2.03967,0.87216,1.05234,0.82494,0.75,0.76593,0.27739,2.19449,0.88958,1.00071,0.0015644,0.0015644,0.0015644
24,182.994,2.05713,0.87338,1.04846,0.75559,0.68571,0.69954,0.24296,2.26199,0.90387,1.02368,0.0015446,0.0015446,0.0015446
25,191.525,2.0139,0.87344,1.03673,0.80809,0.77143,0.76105,0.26553,2.20696,0.84673,1.00333,0.0015248,0.0015248,0.0015248
26,199.665,2.05399,0.87331,1.03424,0.84643,0.74802,0.79124,0.27964,2.2339,0.86376,1.01133,0.001505,0.001505,0.001505
27,207.818,2.02286,0.86361,1.04537,0.82276,0.75357,0.75961,0.25839,2.30281,0.89341,1.00472,0.0014852,0.0014852,0.0014852
28,215.704,2.04957,0.87584,1.04101,0.86753,0.80357,0.8219,0.27967,2.23743,0.82405,0.99878,0.0014654,0.0014654,0.0014654
29,223.58,1.98896,0.8488,1.02705,0.8612,0.7756,0.79675,0.29961,2.2103,0.85199,0.99973,0.0014456,0.0014456,0.0014456
30,231.698,2.03165,0.85868,1.03726,0.77025,0.70357,0.71907,0.25371,2.34207,0.90556,1.01034,0.0014258,0.0014258,0.0014258
31,239.805,1.98933,0.84534,1.03418,0.83246,0.775,0.77138,0.28169,2.28228,0.84275,1.0075,0.001406,0.001406,0.001406
32,247.995,1.98463,0.84042,1.036,0.77076,0.71786,0.69384,0.24927,2.4379,0.90639,1.027,0.0013862,0.0013862,0.0013862
33,256.423,1.98992,0.83644,1.01792,0.83624,0.77857,0.8116,0.29342,2.1369,0.86729,0.99185,0.0013664,0.0013664,0.0013664
34,264.635,1.97042,0.82363,1.01798,0.84873,0.7815,0.81804,0.29489,2.24532,0.84727,1.00591,0.0013466,0.0013466,0.0013466
35,273.155,1.94949,0.81108,1.01507,0.88481,0.78571,0.84174,0.31228,2.19853,0.80961,0.99372,0.0013268,0.0013268,0.0013268
36,282.136,1.97318,0.82055,1.01971,0.84841,0.78214,0.79277,0.28703,2.173,0.84325,0.99238,0.001307,0.001307,0.001307
37,290.685,1.95325,0.81165,1.01738,0.84741,0.77351,0.80336,0.29427,2.16791,0.81391,0.99794,0.0012872,0.0012872,0.0012872
38,299.345,1.94953,0.81389,1.00985,0.87228,0.78054,0.82423,0.29358,2.20412,0.81351,1.00843,0.0012674,0.0012674,0.0012674
39,307.938,1.93363,0.80471,1.01148,0.87535,0.82143,0.82373,0.28356,2.20438,0.87016,0.99964,0.0012476,0.0012476,0.0012476
40,316.623,1.8861,0.78407,1.02039,0.90839,0.8,0.84263,0.30388,2.251,0.81121,1.01539,0.0012278,0.0012278,0.0012278
41,325.235,1.93185,0.79514,1.00569,0.85181,0.775,0.79625,0.28363,2.28629,0.83614,1.01412,0.001208,0.001208,0.001208
42,333.85,1.92245,0.80197,1.00379,0.86559,0.77857,0.81951,0.29216,2.26902,0.82152,1.02214,0.0011882,0.0011882,0.0011882
43,342.612,1.91425,0.79333,0.99947,0.85598,0.76429,0.81701,0.29066,2.22135,0.81451,1.01222,0.0011684,0.0011684,0.0011684
44,351.309,1.88637,0.77675,0.99177,0.86521,0.78929,0.83143,0.29173,2.24421,0.82125,1.01815,0.0011486,0.0011486,0.0011486
45,359.733,1.90164,0.78504,1.00089,0.84616,0.7661,0.78631,0.27405,2.2204,0.83151,1.0025,0.0011288,0.0011288,0.0011288
46,368.5,1.92694,0.79096,1.00886,0.86528,0.75697,0.81697,0.29323,2.23558,0.82841,1.00644,0.001109,0.001109,0.001109
47,376.206,1.90164,0.78219,1.00509,0.87035,0.78571,0.81392,0.28499,2.2275,0.83257,1.01034,0.0010892,0.0010892,0.0010892
48,383.717,1.88509,0.77437,0.99967,0.88609,0.79286,0.82069,0.29384,2.1876,0.79056,1.00631,0.0010694,0.0010694,0.0010694
49,391.262,1.88389,0.78241,0.99857,0.85727,0.77143,0.80236,0.28921,2.2738,0.82625,1.01405,0.0010496,0.0010496,0.0010496
50,398.735,1.83683,0.76467,0.99854,0.84342,0.78929,0.78701,0.27297,2.26265,0.82649,1.02346,0.0010298,0.0010298,0.0010298
51,406.334,1.85838,0.75024,0.99978,0.84394,0.79186,0.80057,0.29509,2.1677,0.80009,0.99622,0.00101,0.00101,0.00101
52,413.855,1.83443,0.75411,0.99094,0.8655,0.80437,0.80458,0.29199,2.18527,0.79024,0.99841,0.0009902,0.0009902,0.0009902
