epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,348.183,1.96388,0.82413,1.00827,0.77285,0.76553,0.747,0.26952,2.21835,0.84201,1.00539,0.0014588,0.0014588,0.0014588
43,356.123,1.94949,0.82563,1.00737,0.84395,0.75,0.77601,0.29818,2.09648,0.78994,0.98875,0.0014456,0.0014456,0.0014456
44,363.869,1.94468,0.81703,1.00361,0.89378,0.81135,0.83013,0.29807,2.17146,0.79941,0.99478,0.0014324,0.0014324,0.0014324
45,371.662,1.92339,0.8036,1.01417,0.83939,0.80259,0.82514,0.28126,2.22682,0.81549,1.00719,0.0014192,0.0014192,0.0014192
46,379.612,1.9243,0.81018,1.01131,0.87775,0.81786,0.8468,0.29833,2.16455,0.79738,0.99041,0.001406,0.001406,0.001406
47,387.406,1.94839,0.81641,1.01089,0.85804,0.8,0.79721,0.28768,2.15269,0.80751,1.00211,0.0013928,0.0013928,0.0013928
48,395.098,1.93051,0.80004,1.01198,0.84482,0.79715,0.80614,0.29397,2.121,0.78633,0.98959,0.0013796,0.0013796,0.0013796
49,402.929,1.89472,0.79863,1.00521,0.87851,0.80714,0.83373,0.31143,2.08087,0.77692,0.98326,0.0013664,0.0013664,0.0013664
50,410.724,1.87736,0.7834,1.01032,0.85514,0.80113,0.80437,0.29695,2.12644,0.78179,0.98984,0.0013532,0.0013532,0.0013532
51,418.515,1.90622,0.78648,1.00748,0.87003,0.78892,0.80086,0.29414,2.2256,0.78954,1.00654,0.00134,0.00134,0.00134
52,426.368,1.8851,0.77601,1.00189,0.89349,0.8089,0.82565,0.30265,2.13988,0.77173,0.99514,0.0013268,0.0013268,0.0013268
53,434.109,1.89071,0.78263,0.99697,0.86154,0.77857,0.80507,0.30987,2.12919,0.7934,0.99904,0.0013136,0.0013136,0.0013136
54,442.094,1.89163,0.77313,0.99429,0.87318,0.80357,0.83249,0.30482,2.14558,0.7954,0.99327,0.0013004,0.0013004,0.0013004
55,449.842,1.8469,0.76942,0.98952,0.88684,0.79643,0.83201,0.28771,2.13899,0.78074,0.99583,0.0012872,0.0012872,0.0012872
56,457.582,1.83802,0.75798,0.98678,0.86907,0.80597,0.8336,0.29887,2.16524,0.78025,0.99761,0.001274,0.001274,0.001274
57,465.283,1.84329,0.76839,0.98668,0.86298,0.81786,0.81135,0.28185,2.1924,0.79374,1.00042,0.0012608,0.0012608,0.0012608
58,473.115,1.8757,0.76837,0.98608,0.86657,0.78929,0.80675,0.27804,2.18949,0.79676,1.01024,0.0012476,0.0012476,0.0012476
59,481.031,1.87742,0.77344,0.99347,0.84319,0.78214,0.78981,0.28749,2.19263,0.78352,0.99945,0.0012344,0.0012344,0.0012344
60,488.769,1.82269,0.75571,0.9878,0.84212,0.79643,0.77744,0.2883,2.18007,0.79455,1.00386,0.0012212,0.0012212,0.0012212
61,496.721,1.83012,0.74753,0.97937,0.85592,0.78502,0.8133,0.28971,2.20761,0.78234,1.01285,0.001208,0.001208,0.001208
62,504.558,1.82414,0.75098,0.9829,0.88918,0.81429,0.83543,0.29576,2.12428,0.76837,0.9972,0.0011948,0.0011948,0.0011948
63,512.529,1.83711,0.76048,0.99161,0.8973,0.78929,0.82147,0.29048,2.21096,0.77218,1.02353,0.0011816,0.0011816,0.0011816
64,520.511,1.8016,0.74416,0.97631,0.83792,0.81242,0.81905,0.30343,2.13688,0.77269,1.00535,0.0011684,0.0011684,0.0011684
65,528.375,1.82592,0.74932,0.98695,0.84591,0.79286,0.81702,0.28885,2.17007,0.78764,1.00165,0.0011552,0.0011552,0.0011552
66,536.356,1.77838,0.72706,0.98766,0.83187,0.79286,0.78481,0.28144,2.14985,0.77517,1.00009,0.001142,0.001142,0.001142
67,544.187,1.80857,0.74136,0.98364,0.86632,0.79286,0.78638,0.2878,2.15665,0.78149,0.99506,0.0011288,0.0011288,0.0011288
68,552.178,1.81572,0.73743,0.98807,0.85815,0.81071,0.81226,0.28627,2.14151,0.75813,0.99504,0.0011156,0.0011156,0.0011156
69,559.828,1.80545,0.73978,0.98163,0.88963,0.80601,0.84252,0.29673,2.11336,0.75756,0.99676,0.0011024,0.0011024,0.0011024
70,567.666,1.76703,0.73106,0.96608,0.9016,0.83571,0.85164,0.3038,2.11342,0.7504,1.00007,0.0010892,0.0010892,0.0010892
71,575.462,1.77461,0.72416,0.97298,0.87202,0.80303,0.82019,0.27991,2.14465,0.76779,1.0094,0.001076,0.001076,0.001076
72,583.295,1.75314,0.72844,0.97462,0.88201,0.80094,0.81632,0.29512,2.14775,0.75217,0.99688,0.0010628,0.0010628,0.0010628
