epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3566,0.81613,1.38695,2.63421,0.91618,0.02042,0.944,0.32236,0.21021,0.02011,0.92952,0.30908,0.23932,0.565,0.7334,2.68251,0.81327,0.00040008,0.00040008,0.00040008
2,22.491,0.58288,0.769,1.33271,0.84319,0.02147,0.98937,0.42319,0.36637,0.02156,0.99355,0.42438,0.3716,0.56074,0.94997,2.70213,0.83734,0.000808743,0.000808743,0.000808743
3,32.2027,0.55113,0.71415,1.19567,0.83575,0.02203,0.99163,0.53063,0.46474,0.02203,0.99163,0.53007,0.46679,0.51332,0.59144,2.15755,0.81817,0.00120916,0.00120916,0.00120916
4,41.9007,0.5645,0.64404,1.14604,0.83083,0.49667,0.84782,0.53817,0.46871,0.49667,0.84782,0.53693,0.44826,0.48729,0.75863,1.62104,0.83701,0.00160132,0.00160132,0.00160132
5,51.47,0.54983,0.63795,1.11743,0.83136,0.50151,0.92483,0.52501,0.4571,0.50151,0.92483,0.52501,0.45459,0.4628,0.59718,1.29118,0.81053,0.00160099,0.00160099,0.00160099
6,61.2321,0.52565,0.62252,1.07084,0.82903,0.49768,0.95543,0.53612,0.48021,0.49768,0.95543,0.53612,0.44959,0.43862,0.59312,1.00424,0.81651,0.00158448,0.00158448,0.00158448
7,71.0205,0.50796,0.63767,1.04253,0.82501,0.49442,0.97138,0.54553,0.48983,0.49343,0.96912,0.54546,0.47246,0.4131,0.52244,0.97722,0.8071,0.00156798,0.00156798,0.00156798
8,80.8126,0.49169,0.56248,1.02018,0.82288,0.48968,0.94635,0.51596,0.46286,0.48968,0.94635,0.51596,0.44823,0.41455,0.51496,1.09389,0.8158,0.00155148,0.00155148,0.00155148
9,90.653,0.47282,0.56275,0.98275,0.81834,0.50048,0.99149,0.55178,0.50563,0.50048,0.99149,0.55178,0.48953,0.38231,0.43072,0.88486,0.79975,0.00153497,0.00153497,0.00153497
10,100.405,0.46116,0.53209,0.98295,0.81744,0.50147,0.97319,0.52706,0.48929,0.50147,0.97319,0.52706,0.47128,0.35454,0.44974,0.87984,0.80089,0.00151847,0.00151847,0.00151847
11,110.221,0.453,0.52553,0.96638,0.81281,0.49972,0.99129,0.53814,0.49644,0.49972,0.99129,0.53814,0.4753,0.36844,0.45396,0.86724,0.79853,0.00150197,0.00150197,0.00150197
12,120.046,0.45659,0.53844,0.95499,0.8166,0.49231,0.98676,0.54666,0.5034,0.49231,0.98676,0.54666,0.47887,0.36241,0.43004,0.83278,0.79236,0.00148546,0.00148546,0.00148546
