epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,130.955,0.46567,0.5835,0.39263,0.85258,0.97741,0.98592,0.99005,0.90603,0.97741,0.98592,0.99005,0.91793,0.42061,0.42864,0.39697,0.84354,0.0017129,0.0017129,0.0017129
31,135.277,0.45858,0.54844,0.3835,0.83667,0.98871,0.99296,0.99472,0.93274,0.98871,0.99296,0.99472,0.91196,0.36528,0.43959,0.29068,0.81517,0.001703,0.001703,0.001703
32,139.838,0.46281,0.51133,0.39047,0.84624,0.97911,0.99044,0.99465,0.93895,0.97215,0.98339,0.98368,0.91945,0.34931,0.44456,0.28265,0.8157,0.0016931,0.0016931,0.0016931
33,144.184,0.46398,0.5557,0.37197,0.84498,0.99464,0.99296,0.995,0.93503,0.99464,0.99296,0.995,0.93453,0.34258,0.43708,0.28089,0.80947,0.0016832,0.0016832,0.0016832
34,148.498,0.47854,0.60169,0.38092,0.83665,0.99919,0.99296,0.995,0.93898,0.99919,0.99296,0.995,0.92414,0.35108,0.47084,0.27888,0.81646,0.0016733,0.0016733,0.0016733
35,152.794,0.48257,0.58736,0.39159,0.84711,0.99948,0.99296,0.995,0.94605,0.99948,0.99296,0.995,0.92659,0.34226,0.4202,0.27335,0.80435,0.0016634,0.0016634,0.0016634
36,157.18,0.4515,0.55389,0.36924,0.83668,0.99918,0.99296,0.995,0.95519,0.99918,0.99296,0.995,0.93433,0.31726,0.37424,0.26011,0.80213,0.0016535,0.0016535,0.0016535
37,161.621,0.44713,0.53788,0.37114,0.8354,0.99829,0.99296,0.995,0.94705,0.99829,0.99296,0.995,0.93351,0.34149,0.49402,0.29025,0.8089,0.0016436,0.0016436,0.0016436
38,165.906,0.42686,0.51599,0.36177,0.83406,0.99955,0.99296,0.995,0.95487,0.99955,0.99296,0.995,0.93064,0.3314,0.37639,0.27059,0.80511,0.0016337,0.0016337,0.0016337
39,170.112,0.44216,0.54231,0.35371,0.83569,0.99958,0.99296,0.995,0.95134,0.99958,0.99296,0.995,0.91974,0.33554,0.3829,0.26489,0.80277,0.0016238,0.0016238,0.0016238
40,174.402,0.44797,0.53867,0.35552,0.83225,0.99957,0.99296,0.995,0.92216,0.99957,0.99296,0.995,0.90226,0.40527,0.40329,0.28713,0.81586,0.0016139,0.0016139,0.0016139
41,178.748,0.45336,0.52576,0.36792,0.83497,0.99957,0.99296,0.995,0.94275,0.99248,0.98592,0.98996,0.912,0.35573,0.37565,0.27282,0.81135,0.001604,0.001604,0.001604
42,183.088,0.43078,0.499,0.35284,0.82371,0.99925,0.99296,0.995,0.95017,0.99216,0.98592,0.99019,0.92963,0.31576,0.35335,0.26081,0.80619,0.0015941,0.0015941,0.0015941
43,187.456,0.4324,0.51966,0.35811,0.82854,0.99421,0.99296,0.995,0.93977,0.99421,0.99296,0.995,0.91495,0.32984,0.40675,0.29719,0.80831,0.0015842,0.0015842,0.0015842
44,191.783,0.42941,0.50355,0.35574,0.82907,0.99959,0.99296,0.995,0.95477,0.99959,0.99296,0.995,0.93491,0.30887,0.45414,0.26874,0.80269,0.0015743,0.0015743,0.0015743
45,196.176,0.43036,0.51012,0.35183,0.83008,0.99958,0.99296,0.995,0.94836,0.99249,0.98592,0.9886,0.92363,0.30759,0.43174,0.26158,0.80234,0.0015644,0.0015644,0.0015644
46,200.439,0.42288,0.49226,0.34497,0.83228,0.99951,0.99296,0.995,0.94962,0.99242,0.98592,0.98529,0.91986,0.3163,0.37729,0.25485,0.80885,0.0015545,0.0015545,0.0015545
47,204.658,0.43187,0.54406,0.34354,0.82851,0.99772,0.99296,0.995,0.94353,0.99065,0.98592,0.9814,0.93167,0.3194,0.37675,0.26674,0.80011,0.0015446,0.0015446,0.0015446
48,208.861,0.42893,0.54641,0.34464,0.82962,0.99938,0.99296,0.995,0.94822,0.99229,0.98592,0.98335,0.92016,0.32982,0.4292,0.25443,0.80101,0.0015347,0.0015347,0.0015347
49,213.078,0.41007,0.49297,0.33873,0.82987,0.99905,0.99296,0.995,0.96046,0.99905,0.99296,0.995,0.94488,0.2882,0.36328,0.24681,0.80091,0.0015248,0.0015248,0.0015248
50,217.346,0.40356,0.48083,0.32747,0.81625,0.98922,0.99296,0.99451,0.96431,0.98922,0.99296,0.99451,0.9477,0.27328,0.34012,0.2661,0.79513,0.0015149,0.0015149,0.0015149
51,221.63,0.40388,0.51868,0.33457,0.81882,0.9991,0.99296,0.995,0.95036,0.9991,0.99296,0.995,0.94026,0.31797,0.34531,0.24416,0.80703,0.001505,0.001505,0.001505
52,226.083,0.41878,0.50974,0.33627,0.83006,0.99944,0.99296,0.995,0.96006,0.99944,0.99296,0.995,0.92962,0.29765,0.32634,0.24199,0.79823,0.0014951,0.0014951,0.0014951
53,231.69,0.42954,0.54609,0.33973,0.8279,0.99942,0.99296,0.995,0.96423,0.99942,0.99296,0.995,0.93034,0.29905,0.31062,0.24213,0.80116,0.0014852,0.0014852,0.0014852
54,238.323,0.41349,0.50842,0.33561,0.82255,0.99944,0.99296,0.995,0.9549,0.99944,0.99296,0.995,0.93791,0.3135,0.35211,0.26985,0.8032,0.0014753,0.0014753,0.0014753
55,244.485,0.41222,0.48987,0.33286,0.83264,0.99945,0.99296,0.995,0.96759,0.99236,0.98592,0.99401,0.94981,0.29338,0.42059,0.25137,0.79974,0.0014654,0.0014654,0.0014654
56,251.184,0.40126,0.46648,0.32544,0.82395,0.99957,0.99296,0.995,0.96485,0.99957,0.99296,0.995,0.93375,0.30229,0.37334,0.23797,0.80478,0.0014555,0.0014555,0.0014555
