epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1774.78,0.37507,0.74873,0.59693,0.84726,0.88026,0.93764,0.94265,0.88548,0.90307,0.84202,0.87556,0.74756,0.38239,1.03168,0.65236,0.84128,0.000473064,0.000473064,0.000473064
31,1828.32,0.36171,0.70597,0.55858,0.84535,0.91428,0.91464,0.93918,0.87863,0.88585,0.88747,0.89137,0.75532,0.39558,0.98039,0.66825,0.85266,0.000451066,0.000451066,0.000451066
32,1896.38,0.37646,0.74102,0.57333,0.84711,0.92621,0.92333,0.93649,0.88715,0.89539,0.89507,0.89023,0.75776,0.34572,0.96606,0.62202,0.84114,0.000429068,0.000429068,0.000429068
33,1962.53,0.36127,0.70847,0.55896,0.83975,0.92109,0.94206,0.94268,0.89225,0.88153,0.90397,0.88132,0.76132,0.36111,0.9899,0.59457,0.84173,0.00040707,0.00040707,0.00040707
34,2018.88,0.36346,0.67833,0.56811,0.84906,0.95217,0.90566,0.95942,0.90464,0.92141,0.87736,0.91643,0.78222,0.3599,0.95837,0.58466,0.84563,0.000385073,0.000385073,0.000385073
35,2088.91,0.34328,0.6747,0.54611,0.84725,0.91642,0.9354,0.95608,0.9026,0.89695,0.91635,0.92848,0.78759,0.36206,0.91128,0.58328,0.84541,0.000363075,0.000363075,0.000363075
36,2148.17,0.35419,0.7302,0.54375,0.84802,0.96156,0.90097,0.95523,0.90586,0.93006,0.87249,0.9168,0.79081,0.36145,0.94917,0.57544,0.84472,0.000341077,0.000341077,0.000341077
37,2214.48,0.35116,0.71759,0.55848,0.8407,0.94676,0.85741,0.94466,0.89536,0.92582,0.83837,0.9094,0.77133,0.35758,0.89824,0.59725,0.84397,0.000319079,0.000319079,0.000319079
38,2275.64,0.33461,0.65321,0.52288,0.83836,0.91269,0.9009,0.94173,0.89628,0.87107,0.8628,0.87282,0.76264,0.3426,0.95388,0.62024,0.84935,0.000297081,0.000297081,0.000297081
39,2332.72,0.32829,0.67959,0.51212,0.83748,0.93747,0.91915,0.94996,0.89795,0.91658,0.90023,0.916,0.77399,0.34233,0.92388,0.58831,0.85132,0.000275084,0.000275084,0.000275084
40,2396.05,0.31429,0.64563,0.48921,0.83648,0.93651,0.92651,0.95172,0.90762,0.90616,0.89814,0.90338,0.776,0.32806,0.96761,0.55254,0.84327,0.000253086,0.000253086,0.000253086
41,2485.18,0.27847,0.58114,0.46741,0.80191,0.90943,0.9145,0.94999,0.90824,0.87955,0.88593,0.90647,0.78372,0.32827,0.97176,0.61476,0.83786,0.000231088,0.000231088,0.000231088
42,2531.38,0.27705,0.53996,0.4598,0.80558,0.8742,0.93597,0.94784,0.90159,0.8546,0.91698,0.91751,0.78661,0.31782,0.89765,0.61995,0.83966,0.00020909,0.00020909,0.00020909
43,2575.33,0.26453,0.55301,0.43147,0.80216,0.94663,0.92057,0.94407,0.89869,0.9165,0.89212,0.89546,0.78575,0.32179,0.93567,0.5405,0.84229,0.000187092,0.000187092,0.000187092
44,2620.73,0.26939,0.52157,0.42595,0.80646,0.93326,0.94674,0.9571,0.91398,0.90328,0.91828,0.91373,0.79274,0.32506,0.95447,0.51144,0.84403,0.000165095,0.000165095,0.000165095
45,2662.95,0.26384,0.49614,0.42445,0.80106,0.94243,0.94673,0.95278,0.90631,0.91205,0.91849,0.90633,0.78132,0.32974,0.95889,0.51316,0.84473,0.000143097,0.000143097,0.000143097
46,2706.73,0.26139,0.50103,0.40307,0.80813,0.94173,0.92755,0.94973,0.90091,0.92095,0.90863,0.91415,0.79068,0.32904,0.97223,0.52859,0.84486,0.000121099,0.000121099,0.000121099
47,2751.11,0.26612,0.50287,0.40115,0.8021,0.94032,0.9267,0.94792,0.899,0.91943,0.90777,0.91367,0.78718,0.32049,1.00044,0.52527,0.84505,9.91012e-05,9.91012e-05,9.91012e-05
48,2796.95,0.25465,0.47967,0.40054,0.79851,0.94512,0.94187,0.94758,0.89996,0.9243,0.92295,0.91241,0.77607,0.32217,1.02392,0.51452,0.84755,7.71034e-05,7.71034e-05,7.71034e-05
49,2847.12,0.25037,0.48142,0.40696,0.80363,0.94665,0.94108,0.9447,0.8941,0.9158,0.91262,0.89727,0.77104,0.31831,1.02675,0.5119,0.84691,5.51056e-05,5.51056e-05,5.51056e-05
50,2902.59,0.24122,0.47561,0.38747,0.80343,0.94554,0.94248,0.94482,0.89478,0.91494,0.91415,0.89744,0.77084,0.31219,1.02494,0.50481,0.84487,3.31078e-05,3.31078e-05,3.31078e-05
