epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,100.938,1.03381,0.54288,0.98858,0.89623,0.93929,0.96416,0.70467,1.06355,0.57858,1.0155,0.000990365,0.000990365,0.000990365
43,103.335,1.01557,0.53557,0.99599,0.87738,0.96454,0.96769,0.69689,1.10805,0.56965,1.03456,0.000973861,0.000973861,0.000973861
44,105.778,1.00769,0.54,0.98823,0.89837,0.93926,0.96638,0.7024,1.08971,0.56385,1.03893,0.000957358,0.000957358,0.000957358
45,108.117,1.01751,0.53271,1.01355,0.89069,0.92945,0.96403,0.69689,1.08519,0.59703,1.03047,0.000940855,0.000940855,0.000940855
46,110.522,0.98954,0.53425,0.99079,0.88485,0.9498,0.95934,0.68146,1.12039,0.59,1.04497,0.000924352,0.000924352,0.000924352
47,113.029,0.97323,0.50484,0.9805,0.91112,0.9283,0.96336,0.70175,1.0367,0.54876,1.01129,0.000907848,0.000907848,0.000907848
48,115.437,0.97583,0.52014,0.99311,0.88479,0.93246,0.94306,0.69801,1.0509,0.59411,1.01799,0.000891345,0.000891345,0.000891345
49,117.84,0.9803,0.5194,0.98588,0.84793,0.93593,0.93019,0.67001,1.09406,0.61747,1.03666,0.000874842,0.000874842,0.000874842
50,120.199,0.96988,0.51855,0.97916,0.88121,0.92417,0.93267,0.66927,1.07404,0.62483,1.01858,0.000858338,0.000858338,0.000858338
51,122.708,0.98312,0.52408,0.99041,0.89212,0.92459,0.95138,0.66833,1.15028,0.60847,1.04333,0.000841835,0.000841835,0.000841835
52,125.091,0.97588,0.51794,0.9869,0.91356,0.9089,0.94408,0.67799,1.09314,0.56725,1.02977,0.000825332,0.000825332,0.000825332
53,127.474,0.97677,0.50968,0.9837,0.89365,0.95825,0.95954,0.68354,1.10265,0.53336,1.0238,0.000808828,0.000808828,0.000808828
