epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,139.806,0.83851,0.55609,1.10775,0.9764,1,0.995,0.8595,0.66852,0.38436,0.95585,0.000973861,0.000973861,0.000973861
44,142.761,0.83069,0.56371,1.09718,0.97847,1,0.995,0.87944,0.65187,0.36205,0.92475,0.000957358,0.000957358,0.000957358
45,146.518,0.8348,0.56276,1.10289,0.97702,1,0.995,0.8718,0.65186,0.37076,0.95441,0.000940855,0.000940855,0.000940855
46,149.48,0.79862,0.51166,1.08057,0.97568,1,0.995,0.87623,0.59626,0.36705,0.94525,0.000924352,0.000924352,0.000924352
47,152.424,0.84362,0.53347,1.12143,0.98168,0.99995,0.995,0.86182,0.67239,0.33826,0.97138,0.000907848,0.000907848,0.000907848
48,155.387,0.86022,0.56405,1.11205,0.98339,1,0.995,0.85772,0.67241,0.35538,0.95977,0.000891345,0.000891345,0.000891345
49,158.337,0.81588,0.532,1.09835,0.98539,1,0.995,0.79943,0.7528,0.36434,1.02127,0.000874842,0.000874842,0.000874842
50,161.406,0.81713,0.54374,1.09032,0.98186,1,0.995,0.86341,0.67709,0.3509,0.98903,0.000858338,0.000858338,0.000858338
51,164.351,0.80518,0.52888,1.07512,0.98099,1,0.995,0.89199,0.62883,0.34356,0.95226,0.000841835,0.000841835,0.000841835
52,167.302,0.78865,0.5501,1.08796,0.98701,1,0.995,0.85407,0.66379,0.35575,0.95783,0.000825332,0.000825332,0.000825332
53,170.247,0.78134,0.53216,1.06098,0.98713,1,0.995,0.86797,0.60318,0.35116,0.94955,0.000808828,0.000808828,0.000808828
54,173.178,0.78593,0.52611,1.09148,0.98846,1,0.995,0.90192,0.57151,0.33335,0.90643,0.000792325,0.000792325,0.000792325
55,176.286,0.80441,0.52047,1.09592,0.98634,1,0.995,0.85959,0.63435,0.34543,0.93433,0.000775822,0.000775822,0.000775822
56,179.319,0.78774,0.51353,1.07661,0.98443,1,0.995,0.87268,0.60834,0.32425,0.92599,0.000759318,0.000759318,0.000759318
57,182.381,0.76399,0.50875,1.07481,0.98365,1,0.995,0.85403,0.62447,0.32274,0.92309,0.000742815,0.000742815,0.000742815
58,185.579,0.78978,0.54303,1.079,0.98635,1,0.995,0.83636,0.73863,0.35898,0.97988,0.000726312,0.000726312,0.000726312
59,189.018,0.78183,0.51358,1.08911,0.97966,1,0.995,0.8613,0.69158,0.34799,0.96295,0.000709809,0.000709809,0.000709809
60,192.845,0.73549,0.47035,1.03916,0.97699,1,0.995,0.83552,0.72893,0.34971,0.96716,0.000693305,0.000693305,0.000693305
61,197.004,0.76042,0.49819,1.04255,0.98065,1,0.995,0.86778,0.62141,0.34131,0.93052,0.000676802,0.000676802,0.000676802
62,200.806,0.72756,0.47521,1.03347,0.97793,1,0.995,0.87712,0.62925,0.33035,0.91835,0.000660299,0.000660299,0.000660299
63,204.696,0.74939,0.47984,1.05063,0.9864,1,0.995,0.86757,0.61247,0.32381,0.92079,0.000643795,0.000643795,0.000643795
64,208.721,0.74489,0.47761,1.05698,0.98694,1,0.995,0.86578,0.64305,0.3156,0.95092,0.000627292,0.000627292,0.000627292
65,212.797,0.74127,0.47651,1.05822,0.98243,1,0.995,0.87502,0.63583,0.30131,0.94104,0.000610789,0.000610789,0.000610789
66,216.719,0.78081,0.4873,1.06607,0.98074,1,0.995,0.86428,0.66207,0.31998,0.9563,0.000594286,0.000594286,0.000594286
67,220.602,0.75886,0.50055,1.08027,0.98482,1,0.995,0.86828,0.65158,0.30678,0.93138,0.000577782,0.000577782,0.000577782
68,224.95,0.71113,0.45796,1.05346,0.98537,1,0.995,0.8639,0.62398,0.30825,0.93176,0.000561279,0.000561279,0.000561279
69,229.404,0.72669,0.46181,1.03265,0.98245,1,0.995,0.86955,0.6178,0.30955,0.92493,0.000544776,0.000544776,0.000544776
70,233.525,0.7494,0.48757,1.05896,0.98159,1,0.995,0.85774,0.65501,0.31109,0.93685,0.000528272,0.000528272,0.000528272
71,237.567,0.69949,0.47039,1.02936,0.98088,1,0.995,0.856,0.66284,0.3073,0.93421,0.000511769,0.000511769,0.000511769
72,241.835,0.6953,0.44468,1.0269,0.98537,1,0.995,0.87322,0.6371,0.31987,0.91416,0.000495266,0.000495266,0.000495266
73,245.767,0.69996,0.45605,1.02594,0.98947,1,0.995,0.87233,0.559,0.29782,0.88322,0.000478762,0.000478762,0.000478762
74,249.524,0.71652,0.44968,1.04827,0.98775,1,0.995,0.88291,0.57648,0.30002,0.89168,0.000462259,0.000462259,0.000462259
75,253.231,0.6906,0.44303,1.02684,0.9913,1,0.995,0.86784,0.59016,0.31017,0.90285,0.000445756,0.000445756,0.000445756
76,257.046,0.68836,0.44488,1.01544,0.98716,1,0.995,0.86225,0.64663,0.32006,0.93309,0.000429253,0.000429253,0.000429253
77,260.947,0.68268,0.43,1.00871,0.98489,1,0.995,0.87143,0.65515,0.31777,0.93166,0.000412749,0.000412749,0.000412749
78,264.409,0.68275,0.43486,1.03529,0.9867,1,0.995,0.87733,0.63086,0.3057,0.91775,0.000396246,0.000396246,0.000396246
79,267.371,0.69766,0.44062,1.03129,0.98344,1,0.995,0.87898,0.6182,0.29985,0.92658,0.000379743,0.000379743,0.000379743
80,270.328,0.66387,0.43549,1.01085,0.98413,1,0.995,0.86312,0.64916,0.29944,0.93374,0.000363239,0.000363239,0.000363239
81,273.428,0.65146,0.42409,1.01213,0.98491,1,0.995,0.86619,0.6211,0.2927,0.92568,0.000346736,0.000346736,0.000346736
82,276.353,0.67435,0.43043,1.01052,0.98494,1,0.995,0.88112,0.58374,0.28534,0.90649,0.000330233,0.000330233,0.000330233
83,279.533,0.68395,0.44192,1.03197,0.9849,1,0.995,0.88248,0.60101,0.28965,0.91054,0.000313729,0.000313729,0.000313729
84,283.404,0.63671,0.40174,0.99329,0.98525,1,0.995,0.87703,0.61694,0.3126,0.91776,0.000297226,0.000297226,0.000297226
85,287.326,0.63847,0.40674,1.00719,0.98525,1,0.995,0.87612,0.57166,0.3019,0.89306,0.000280723,0.000280723,0.000280723
86,291.081,0.64505,0.4193,0.99161,0.9865,1,0.995,0.88703,0.5735,0.29142,0.90022,0.00026422,0.00026422,0.00026422
87,294.089,0.63117,0.41301,1.00626,0.98678,1,0.995,0.88885,0.58948,0.31464,0.88803,0.000247716,0.000247716,0.000247716
88,297.303,0.65239,0.39803,1.00896,0.98785,1,0.995,0.88255,0.6142,0.29527,0.91289,0.000231213,0.000231213,0.000231213
89,300.348,0.61481,0.37765,0.97427,0.98571,1,0.995,0.8907,0.56854,0.29229,0.87894,0.00021471,0.00021471,0.00021471
90,303.538,0.61054,0.3959,0.99559,0.98665,1,0.995,0.89014,0.56286,0.27815,0.8815,0.000198206,0.000198206,0.000198206
91,319.736,0.51915,0.29504,0.90026,0.98645,1,0.995,0.88829,0.57303,0.28055,0.8861,0.000181703,0.000181703,0.000181703
92,322.905,0.49955,0.28523,0.90574,0.98393,1,0.995,0.89057,0.58397,0.27641,0.89665,0.0001652,0.0001652,0.0001652
93,325.881,0.49196,0.27667,0.88447,0.98667,1,0.995,0.88669,0.60152,0.26274,0.90549,0.000148696,0.000148696,0.000148696
94,329.005,0.47304,0.27502,0.88766,0.98543,1,0.995,0.86644,0.60594,0.2614,0.90687,0.000132193,0.000132193,0.000132193
95,331.991,0.47747,0.27245,0.89559,0.98445,1,0.995,0.8657,0.60148,0.26632,0.90869,0.00011569,0.00011569,0.00011569
96,335.051,0.47093,0.27115,0.88795,0.98516,1,0.995,0.87103,0.59954,0.26766,0.91575,9.91865e-05,9.91865e-05,9.91865e-05
97,338.173,0.4556,0.26765,0.88965,0.98547,1,0.995,0.87129,0.58518,0.26651,0.91252,8.26832e-05,8.26832e-05,8.26832e-05
98,341.31,0.47115,0.26516,0.88158,0.98625,1,0.995,0.86624,0.57859,0.27443,0.90967,6.61799e-05,6.61799e-05,6.61799e-05
99,344.467,0.45926,0.26458,0.87092,0.98691,1,0.995,0.8584,0.58977,0.26493,0.91317,4.96766e-05,4.96766e-05,4.96766e-05
100,347.479,0.44881,0.261,0.87833,0.98693,1,0.995,0.8584,0.59541,0.26228,0.91402,3.31733e-05,3.31733e-05,3.31733e-05
